id,name,player_score,comp_score,computerHasAce,decision
1,dataset,16,13,0,0
2,dataset,20,14,0,1
3,dataset,16,10,0,1
4,dataset,14,8,0,1
5,dataset,19,18,0,0
6,dataset,15,13,0,1
7,dataset,16,15,0,1
8,dataset,6,14,0,1
9,dataset,18,12,0,1
10,dataset,17,18,0,0
11,dataset,12,13,0,1
12,dataset,12,16,0, 1
13,dataset,12,19,0,0
14,jeremy,14,20,1,0
11,dataset,20,11,0,1
12,dataset,11,18,0,1
13,dataset,13,12,0,1
14,dataset,13,16,0,1
15,dataset,15,9,0,1
16,dataset,16,4,0,0
17,dataset,16,14,0,0
18,dataset,16,15,0,0
19,dataset,18,14,0,0
20,dataset,14,13,0,1
21,dataset,15,16,0,0
22,dataset,15,18,0,0
23,dataset,15,7,0,1
24,dataset,10,14,0,1
25,dataset,20,18,0,0
26,dataset,18,14,0,1
27,dataset,20,10,0,1
28,dataset,20,19,0,1
29,dataset,16,11,0,0
30,dataset,16,14,0,0
31,dataset,18,12,0,1
32,dataset,17,8,0,1
33,dataset,15,14,0,1
34,dataset,14,20,0,0
35,dataset,9,13,0,1
36,dataset,19,17,0,0
37,dataset,14,14,0,1
38,dataset,13,16,0,1
39,dataset,15,14,0,1
40,dataset,19,17,0,0
41,dataset,14,20,0,0
42,dataset,20,14,1,0
43,dataset,14,9,0,1
44,dataset,15,20,1,0
45,dataset,20,12,0,0
46,dataset,20,12,0,0
47,dataset,14,19,0,1
48,dataset,17,19,0,1
49,dataset,20,12,0,0
50,dataset,14,19,0,1
51,dataset,17,19,0,1
52,dataset,18,14,0,0
53,dataset,18,18,0,0
54,dataset,13,10,1,1
55,dataset,19,17,1,0
56,dataset,20,12,0,0
57,dataset,14,19,0,1
58,dataset,17,19,0,1
59,dataset,18,14,0,0
60,dataset,18,18,0,0
61,dataset,13,10,1,1
62,dataset,19,17,1,0
63,dataset,10,10,0,1
64,dataset,20,12,0,0
65,dataset,14,19,0,1
66,dataset,17,19,0,1
67,dataset,18,14,0,0
68,dataset,18,18,0,0
69,dataset,13,10,1,1
70,dataset,19,17,1,0
71,dataset,10,10,0,1
72,dataset,14,12,0,1
73,dataset,20,12,0,1
74,dataset,17,19,0,0
75,dataset,21,19,0,1
76,dataset,18,14,0,1
77,dataset,18,18,0,0
78,dataset,19,10,0,1
79,dataset,19,17,0,1
80,dataset,21,10,0,1
81,dataset,21,12,0,1
82,dataset,19,10,0,1
83,dataset,20,12,0,0
84,dataset,14,19,0,1
85,dataset,17,19,0,1
86,dataset,18,14,0,0
87,dataset,18,18,0,0
88,dataset,13,10,1,1
89,dataset,19,17,1,0
90,dataset,10,10,0,1
91,dataset,14,12,0,1
92,dataset,12,10,0,1
